Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;Straße;PLZ;Ort;Aufgabenträger;Verkehrsverbünde;Fernverkehr;Nahverkehr
Sachsen;Erzgebirgsbahn (EGB);1629;Erdmannsdorf-Augustusburg;DEA;6;Am Bahnhof;9573;Augustusburg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1648;Erla;DERA;6;Karlsbader Straße;8340;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1649;Erlabrunn (Erzgeb);DERB;6;Schwarzenberger Straße;8359;Erlabrunn;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);1656;Erlenbach am Main;NERL;6;Bahnhofstraße;63906;Erlenbach a.Main;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Hessen;Kurhessenbahn (KHB);1661;Ernsthausen (Kr Frankenberg);FERH;6;Marburger Straße;35099;Burgwald;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1745;Fährbrücke;DFBE;6;Bahnhofstraße;8134;Langenweißbach;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1750;Falkenau (Sachs);DFU;6;Am Haltepunkt;9557;Falkenau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);1766;Faulbach (Main);NFCH;6;Hauptstraße;97906;Faulbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);1786;Feudingen;EFEU;6;Sieg-Lahn-Straße;57334;Bad Laasphe;Zweckverband Nahverkehr Westfalen-Lippe;Zweckverband / Verkehrsgemeinschaft Westfalen-Süd;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8221;Flöha-Plaue;DFLP;6;Augustusburger Straße;9557;Flöha;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1820;Floßmühle;DFM;6;Mühlenstraße;9579;Wildenstein;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);1837;Forsting;MFOS;6;Bahnweg;83539;Pfaffing;Bayrische Eisenbahn Gesellschaft;Münchener Verkehrs- und Tarifverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1841;Frankenberg (Eder);FFRK;6;Am Bahnhof;35066;Frankenberg;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8302;Frankenberg (Eder) Goßberg;FFRG;6;Otto-Stölker-Straße;35066;Frankenberg / Eder;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);7512;Frankenberg (Eder) Viermünden;FVI;6;Am Schmittenbach;35066;Frankenberg (Eder);Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Westfrankenbahn (WFB);1920;Freudenberg-Kirschfurt;NFM;6;Am Bahnhof;97896;Collenberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Südostbayernbahn (SOB);1928;Fridolfing;MFDF;6;Bahnhofstraße;83413;Fridolfing;Bayrische Eisenbahn Gesellschaft;;nein;ja
Hessen;Kurhessenbahn (KHB);1933;Friedensdorf (Lahn);FFRD;6;Wilhelmshütter Straße;35232;Dautphetal;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1964;Fritzlar;FFZ;6;Am Güterbahnhof;34560;Fritzlar;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1979;Fürstenwald;FFNW;6;Bahnhofstraße;34379;Calden;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);1982;Fürstenzell;MFZL;6;Aspertsham;94081;Fürstenzell;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);2004;Gamburg;TGAM;6;Bahnhofstraße;97956;Werbach;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Bayern;Südostbayernbahn (SOB);2010;Garching (Alz);MGA;6;Bahnhofstraße;84518;Garching a.d. Alz;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);2015;Gars (Inn);MGS;6;Bahnhofstraße;83536;Gars a. Inn;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);2041;Geisenhausen;MGHS;6;Bahnhofstraße;84144;Geisenhausen;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);7547;Gendorf;MGND;6;Industriepark;84508;Burgkirchen a.d.Alz;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Westfrankenbahn (WFB);2137;Glanzstoffwerke;NGLW;6;Glanzstoffstraße;63785;Erlenbach a.Main;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Hessen;Kurhessenbahn (KHB);2205;Goßfelden;FGOF;6;Bahnhofstraße;35094;Lahntal;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2396;Grünhainichen-Borstendorf;DGRB;6;Am Güterbahnhof;9579;Wildenstein;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2404;Grünstädtel;DGS;6;Am Bahnhof;8340;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);2481;Hainstadt (Baden);RHAI;6;Bahnhofstraße;74722;Buchen (Odenwald);Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2567;Hartenstein;DHST;6;Bahnhofstraße;8118;Hartenstein;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);2578;Hasloch am Main;NHCH;6;Bahnhofstraße;97907;Hasloch;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Südostbayernbahn (SOB);2612;Hebertsfelden;MHEF;6;Bahnhofstraße;84332;Hebertsfelden;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);7549;Heiligenstatt;MHEI;6;Marsstraße;84557;Tüßling;Bayrische Eisenbahn Gesellschaft;;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2690;Hennersdorf (Sachs);DHRF;6;Bahnhofstraße;9573;Augustusburg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2754;Hetzdorf (Flöhatal);DHZF;6;Lindenstraße;9557;Flöha;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);2801;Hochhausen;THO;6;Landstraße;97941;Tauberbischofsheim;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2845;Hohenfichte;DHOF;6;Bahnhofstraße;9573;Leubsdorf+Hohenfichte;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);2899;Höpfling;MHPF;6;Ruhpoldinger Straße;83313;Siegsdorf;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);2918;Hörpolding;MHPD;6;Unterdorf;83301;Traunreut;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);2940;Hufschlag;MHUF;6;Waginger Straße;83362;Surberg;Bayrische Eisenbahn Gesellschaft;;nein;ja
